進行度,初期ステージ,初期座標X,初期座標Y,初期座標Z,開始時会話,患者会話,進行条件会話,エンドロック先,自動進行
0,1,50.0,50.0,0.0,0,1,1,0,0
1,0,17.0,10.0,0.0,-1,-1,-1,1,1
2,0,48.0,33.0,0.0,102,2,2,2,0
3,0,48.0,33.0,0.0,3,-1,3,3,0
4,0,48.0,33.0,0.0,-1,-1,4,4,0
5,1,36.0,21.0,0.0,-1,5,5,5,0
6,0,36.0,21.0,0.0,-1,-1,6,6,0
7,1,36.0,21.0,0.0,-1,7,7,7,0
8,0,17.0,10.0,0.0,-1,-1,8,8,0
9,1,36.0,21.0,0.0,-1,9,9,9,0
10,0,17.0,10.0,0.0,-1,-1,10,10,0
11,1,36.0,21.0,0.0,-1,11,11,11,0
100,1,50.0,50.0,0.0,902,-1,902,101,0
101,1,50.0,50.0,0.0,-1,-1,-1,101,0
110,0,50.0,50.0,0.0,901,-1,901,111,0
111,0,50.0,50.0,0.0,-1,-1,-1,111,0
120,1,50.0,50.0,0.0,903,-1,903,121,0
121,1,50.0,50.0,0.0,-1,-1,-1,121,0
